,optimizer,num_hidden,dim_hidden,dropout_rate,learning_rate,num_epochs,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
13,SWA,2,80,0.2,0.001,10,0.5854671345640385,0.3875502432763721,0.44342425109496997,0.8444863995524788,0.7057207970548706,0.7688928503215128
14,SWA,2,80,0.2,0.01,10,0.7237929809994759,0.5260516149630431,0.5801796556795316,0.8290852713178295,0.7812189563489744,0.8044407004031531
15,SWA,2,120,0.0,0.001,10,0.5845010547535447,0.3978662959742522,0.4529720988903199,0.8447611179953187,0.7170572079705487,0.7756882328771453
16,SWA,2,120,0.0,0.01,10,0.6798649862374352,0.5462930490962633,0.585741339668589,0.8331086050502574,0.7943084204990358,0.8132459840258458
17,SWA,2,120,0.1,0.001,10,0.5838202656738928,0.4065549933743483,0.4612391035254442,0.8456977385548814,0.7167650324314848,0.7759116930765094
18,SWA,2,120,0.1,0.01,10,0.6934486160475066,0.5290704213095178,0.5795368323626366,0.8264392324093817,0.7927306725880909,0.8092340730136006
19,SWA,2,120,0.2,0.001,10,0.5934035816245583,0.4023398836316233,0.4527611923748088,0.8396931015752308,0.7226669783205749,0.776797211142866
20,SWA,2,120,0.2,0.01,10,0.7270303946167099,0.5439452082314756,0.6004014305173666,0.8220762788455745,0.7972886109974873,0.8094927321269653
21,SWA,3,40,0.0,0.001,10,0.4620111061200936,0.29676375666173593,0.3444667464159188,0.8342545508143563,0.6614854204406007,0.7378919236034157
22,SWA,3,40,0.0,0.01,10,0.6378120167723419,0.4291105051241964,0.4809638839420607,0.8309468822170901,0.7358733126862619,0.7805255981157804
23,SWA,3,40,0.1,0.001,10,0.509908572687268,0.3215468305217415,0.3702195756530653,0.8431161757328173,0.6874306083094723,0.7573553080538209
24,SWA,3,40,0.1,0.01,10,0.6196816281447911,0.4378402986759307,0.4852946477089568,0.8220882259600127,0.7568515163910478,0.7881221857125472
25,SWA,3,40,0.2,0.001,10,0.4847937849331338,0.3022972958791584,0.3510333923738536,0.8348649794995051,0.69011862326886,0.7556223807543427
26,SWA,3,40,0.2,0.01,10,0.5389693061652836,0.29905206054949945,0.34950198696737644,0.8132657950578409,0.6942675159235668,0.7490700460248407
27,SWA,3,80,0.0,0.001,10,0.5896310265109839,0.3939695736376692,0.4462881371822492,0.8320912748136913,0.7372757552737684,0.7818193084644937
28,SWA,3,80,0.0,0.01,10,0.6349965431446524,0.4817115706674494,0.531649135349049,0.8070920289421755,0.7886986501490095,0.7977893368010402
29,SWA,3,80,0.1,0.001,10,0.5860261984751464,0.3984088499523857,0.4479234327578123,0.8348129151048859,0.7418336936831649,0.7855816831683168
30,SWA,3,80,0.1,0.01,10,0.6651584227634944,0.4628674874410145,0.5159666834847241,0.8356990083608788,0.7534622801379068,0.7924528301886793
31,SWA,3,80,0.2,0.001,10,0.5398557169720706,0.3755910977545217,0.4267797516076794,0.836211477151966,0.7356980073628235,0.7827411483104854
32,SWA,3,80,0.2,0.01,10,0.6355604954581721,0.4491163655135581,0.5001958585738798,0.8342663715662023,0.7489043417285105,0.7892840646651271
33,SWA,3,120,0.0,0.001,10,0.5993431729700716,0.3959541521747748,0.4465459438001183,0.8385316219990689,0.7368082744112663,0.7843856920684292
34,SWA,3,120,0.0,0.01,10,0.6994271015556094,0.4861841818684627,0.5377805207676778,0.8398851308232291,0.7690644539239175,0.8029161455632493
35,SWA,3,120,0.1,0.001,10,0.5697938968615669,0.4179020077464648,0.4643934538317847,0.8491329869779367,0.7354058318237597,0.7881881380346966
36,SWA,3,120,0.1,0.01,10,0.6715677969123478,0.4547778337918845,0.5084381912418195,0.8306195140567357,0.7631040729270145,0.7954317039744175
37,SWA,3,120,0.2,0.001,10,0.5928119661459278,0.4057294729795119,0.4534357220853783,0.829704761289489,0.7504820896394554,0.7881075110456554
38,SWA,3,120,0.2,0.01,10,0.6008938987751749,0.4491243977780223,0.4931141949820131,0.8188500591789697,0.7681294921989131,0.7926792498341675
39,SWA,2,120,0.2,0.01,10,0.7143548517540389,0.5587128581209995,0.6059718548525876,0.8342105263157895,0.7780050254192719,0.805128050071055
40,SWA,2,150,0.2,0.01,10,0.71484203761818,0.5570713157047569,0.6015199854413014,0.8227855687402613,0.8022555951615731,0.8123908991390278
41,SWA,2,200,0.2,0.01,10,0.7385858289295506,0.5513073627260797,0.6059596451961754,0.8384496124031008,0.7900426576287033,0.8135266863228834
